"Latest: Time (s)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,0,0,0
0.05,0,0,0
0.1,0,0,0
0.15,0,0,0
0.2,0,0,0
0.25,0,0,0
0.3,0,0,0
0.35,0,0,0
0.4,0,0,0
0.45,0,0,0
0.5,0,0,0
0.55,0,0,0
0.6,0,0,0
0.65,0,0,0
0.7,0,0,0
0.75,0,0,0
0.8,0,0,0
0.85,0,0,0
0.9,0,0,0
0.95,0,0,0
1,0,0,0
1.05,0,0,-0.010773637358
1.1,0,0,-0.10773637358
1.15,0,0,-0.6410314228
1.2,0,-0.0193925472444,-2.44561568026
1.25,0,-0.135747830711,-6.58807924441
1.3,0,-0.572080143709,-12.5674479781
1.35,-0.0349065850399,-1.46413731695,-16.7045247236
1.4,-0.13962634016,-2.4919423209,-15.4924905208
1.45,-0.296705972839,-3.24825166343,-9.21684675976
1.5,-0.488692190558,-3.47126595674,-1.59988514766
1.55,-0.663225115758,-3.26764421068,3.21054393268
1.6,-0.820304748437,-2.93797090752,3.86773581152
1.65,-0.942477796077,-2.83131189768,3.39369576777
1.7,-1.09955742876,-2.76343798232,5.53226278333
1.75,-1.23918376892,-2.33680194295,8.41959759527
1.8,-1.34390352404,-1.72593670475,7.63850888681
1.85,-1.3962634016,-1.3962634016,3.39369576777
1.9,-1.46607657168,-1.42535222246,-0.382464126209
1.95,-1.53588974176,-1.56110005317,-1.57833787295
2,-1.62315620435,-1.68715161026,-0.226246384518
2.05,-1.71042266695,-1.65806278939,2.83885344383
2.1,-1.79768912955,-1.42535222246,6.04939737651
2.15,-1.86750229963,-0.93084226773,6.61501333781
2.2,-1.88495559215,-0.562383870087,3.37753531173
2.25,-1.90240888467,-0.591472690954,0.183151835086
2.3,-1.93731546971,-0.746613068909,0.770315071096
2.35,-1.98967534727,-0.669042879931,4.25558675641
2.4,-2.02458193231,-0.22301429331,6.32412512914
2.45,-2.00712863979,0.135747830711,6.65810788724
2.5,-1.98967534727,0.203621746066,14.1888804005
2.55,-1.98967534727,0.698131700798,39.6146645653
2.6,-2.00712863979,3.29673303154,79.0515641142
2.65,-1.83259571459,9.25024503557,100.31333744
2.7,-1.1344640138,15.9018887404,66.3709929439
2.75,-0.0523598775598,18.3647422404,-19.9581632057
2.8,0.994837673637,14.32139614,-115.725025681
2.85,1.60570291183,5.06145483078,-172.997681876
2.9,1.57079632679,-5.83715672056,-164.766622934
2.95,0.907571211037,-14.1080781203,-94.0269200419
3,-0.0872664625997,-16.6485018093,10.0464168363
3.05,-1.02974425868,-12.779688634,106.901416685
3.1,-1.57079632679,-4.10152374219,160.279402975
3.15,-1.50098315672,5.98260082489,150.071381578
3.2,-0.855211333477,13.3905538722,82.0197012064
3.25,0.0698131700798,15.4170750593,-15.2016023121
3.3,0.942477796077,11.4609954214,-103.319182263
3.35,1.3962634016,3.25794793706,-148.956310112
3.4,1.308996939,-5.92442318316,-136.264965304
3.45,0.698131700798,-12.6148519825,-71.1868088429
3.5,-0.174532925199,-14.166255762,19.9581632057
3.55,-0.959931088597,-10.1229096616,100.049383325
3.6,-1.34390352404,-2.35619449019,138.435853231
3.65,-1.2217304764,6.05047474025,122.313104925
3.7,-0.628318530718,11.8779351872,59.3896759359
3.75,0.174532925199,12.8766513703,-24.4076754345
3.8,0.872664625997,8.89148291155,-95.8422779367
3.85,1.20427718388,1.59988514766,-127.958490901
3.9,1.0471975512,-6.06017101387,-109.675628304
3.95,0.488692190558,-11.1604109391,-49.4617691105
4,-0.261799387799,-11.7712761773,28.5662994547
4.05,-0.890117918517,-7.70853752964,93.0195849489
4.1,-1.15191730632,-0.814486984264,119.075626899
4.15,-0.977384381117,6.21531139182,97.9970054083
4.2,-0.418879020479,10.6368121635,38.6611976591
4.25,0.279252680319,10.6368121635,-33.8076740294
4.3,0.820304748437,6.52559214773,-89.9167773898
4.35,1.02974425868,0.0678739153553,-109.255456447
4.4,0.820304748437,-6.22500766545,-85.7635401883
4.45,0.296705972839,-9.92898418912,-29.2881331577
4.5,-0.349065850399,-9.5702220651,36.9697365939
4.55,-0.820304748437,-5.47839459654,86.1675515892
4.6,-0.977384381117,0.552687596465,100.237921979
4.65,-0.750491578358,6.22500766545,74.9144873688
4.7,-0.244346095279,9.3084226773,20.4160427934
4.75,0.349065850399,8.53272078753,-40.4011400925
4.8,0.750491578358,4.44089331896,-82.5583830743
4.85,0.855211333477,-1.16355283466,-91.0749434058
4.9,0.610865238198,-6.19591884458,-63.7637727033
4.95,0.12217304764,-8.60059470288,-11.9048692806
5,-0.401425727959,-7.49521950995,42.7066984871
5.05,-0.750491578358,-3.50035477761,78.3351172299
5.1,-0.802851455917,1.71624043113,81.9173516515
5.15,-0.541052068118,6.06986728749,53.2594762792
5.2,-0.0872664625997,7.89276672846,4.66498497601
5.25,0.383972435439,6.5546809686,-44.3604518215
5.3,0.680678408278,2.61799387799,-74.0741436549
5.35,0.680678408278,-2.17196529137,-73.2284131223
5.4,0.418879020479,-5.93411945678,-43.5901367504
5.45,-0.0174532925199,-7.24311639578,2.55873887252
5.5,-0.436332312999,-5.55596478552,46.030365612
5.55,-0.663225115758,-1.74532925199,69.1613650196
5.6,-0.628318530718,2.54042368901,64.539474593
5.65,-0.366519142919,5.77897907883,34.7395936608
5.7,0.0523598775598,6.62255488396,-8.78051444676
5.75,0.418879020479,4.6736038859,-47.1777579906
5.8,0.593411945678,0.979323635841,-64.6095032359
5.85,0.523598775598,-2.91857836028,-55.7158655968
5.9,0.244346095279,-5.49778714378,-25.4311709835
5.95,-0.12217304764,-5.82746044694,13.5478489777
6,-0.436332312999,-3.86881317525,46.0572997054
6.05,-0.575958653158,-0.378154671265,59.0718536339
6.1,-0.471238898038,3.08341501186,47.9049785123
6.15,-0.209439510239,5.19720266149,18.3151835086
6.2,0.13962634016,5.18750638787,-17.6579916297
6.25,0.401425727959,3.05432619099,-45.0661250685
