"Latest: Time (s)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
6.15,-0.436332312999,-1.99743236617,47.5009671114
6.2,-0.453785605519,1.14416028742,48.7507090449
6.25,-0.296705972839,3.70397652368,30.591743278
6.3,-0.0174532925199,4.71238898038,0.678739153553
6.35,0.261799387799,3.73306534454,-28.3723739823
6.4,0.418879020479,1.28960439175,-44.2958099974
6.45,0.401425727959,-1.47383359057,-42.0818275203
6.5,0.244346095279,-3.58762124021,-23.8636067479
6.55,-0.0174532925199,-4.26636039376,3.62532897096
6.6,-0.261799387799,-3.14159265359,29.0672735919
6.65,-0.383972435439,-0.79509443702,41.6832029381
6.7,-0.349065850399,1.76472179924,37.1313411543
6.75,-0.174532925199,3.54883614572,17.787275278
6.8,0.0698131700798,3.83972435439,-8.33879531508
6.85,0.279252680319,2.53072741539,-30.1715714211
6.9,0.366519142919,0.22301429331,-38.4187908186
6.95,0.296705972839,-2.01682491342,-30.4624596297
7,0.12217304764,-3.29673303154,-11.1183937534
7.05,-0.0872664625997,-3.26764421068,11.6032074346
7.1,-0.261799387799,-1.91986217719,29.0672735919
7.15,-0.314159265359,0.203621746066,33.7107112931
7.2,-0.226892802759,2.0556100079,24.4238358906
7.25,-0.0698131700798,3.00584482288,6.34567240386
7.3,0.12217304764,2.78283052957,-13.7848689995
7.35,0.261799387799,1.36717458073,-27.7798239276
7.4,0.279252680319,-0.53329504922,-29.5790213664
7.45,0.191986217719,-2.09439510239,-19.5056704366
7.5,0.0349065850399,-2.80222307681,-1.93386790576
7.55,-0.13962634016,-2.32710566933,16.2628055919
7.6,-0.244346095279,-0.824183257886,26.6108842742
7.65,-0.226892802759,0.853272078753,25.188764143
7.7,-0.13962634016,2.09439510239,14.1403990324
7.75,0.0174532925199,2.4919423209,-2.16550110896
7.8,0.157079632679,1.81320316735,-16.9523183828
7.85,0.226892802759,0.465421133865,-24.165268594
7.9,0.209439510239,-1.02780500395,-21.4233778864
7.95,0.10471975512,-2.0556100079,-9.90635955067
8,-0.0349065850399,-2.19135783862,5.47300777786
8.05,-0.157079632679,-1.36717458073,17.7441807286
8.1,-0.191986217719,-0.048481368111,21.7358133697
8.15,-0.157079632679,1.18294538191,16.8876765586
8.2,-0.0523598775598,1.91016590357,5.63461233823
8.25,0.0698131700798,1.81320316735,-7.27759203532
8.3,0.157079632679,1.03750127757,-16.7961006411
8.35,0.191986217719,-0.155140377955,-19.4410286125
8.4,0.13962634016,-1.27990811813,-13.6232644392
8.45,0.0349065850399,-1.76472179924,-2.20859565839
8.5,-0.0698131700798,-1.49322613782,9.2330072158
8.55,-0.13962634016,-0.630257785442,15.9719173832
8.6,-0.13962634016,0.407243492132,15.7348973613
8.65,-0.0872664625997,1.19264165553,9.52928224314
8.7,0,1.49322613782,0.048481368111
8.75,0.0872664625997,1.19264165553,-9.25455449051
8.8,0.13962634016,0.416939765754,-14.8245250046
8.85,0.13962634016,-0.572080143709,-13.8926053731
8.9,0.0698131700798,-1.27021184451,-6.44263514008
8.95,-0.0174532925199,-1.31869321262,3.36137485569
9,-0.0872664625997,-0.79509443702,10.4127205065
9.05,-0.10471975512,-0.048481368111,12.384296143
9.1,-0.0872664625997,0.62056151182,9.8471045452
