"Latest: Time (s)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,0,0,-0.010773637358
0.05,0,0,-0.0538681867899
0.1,0,0,-0.190693381236
0.15,0,-0.00969627362219,-0.43094549432
0.2,0,-0.0387850944888,-0.58716323601
0.25,0,-0.116355283466,0.204699109802
0.3,-0.0174532925199,-0.0775701889775,1.95541518048
0.35,-0.0174532925199,0.135747830711,2.55335205384
0.4,0,0.281191935044,1.09891101051
0.45,0.0174532925199,0.281191935044,-1.14200555995
0.5,0.0349065850399,0.135747830711,-2.73650388893
0.55,0.0349065850399,-0.0872664625997,-2.42945522423
0.6,0.0174532925199,-0.155140377955,-1.02349554901
0.65,0.0174532925199,-0.164836651577,0.032320912074
0.7,0,-0.135747830711,0.500974137147
0.75,0,-0.048481368111,-0.791862345812
0.8,0,-0.0969627362219,-4.74578725619
0.85,0,-0.407243492132,-10.8436660008
0.9,-0.0174532925199,-1.20233792915,-15.9234360151
0.95,-0.10471975512,-2.27862430121,-15.0346109331
1,-0.261799387799,-3.0155410965,-7.68699025493
1.05,-0.436332312999,-3.11250383272,1.31977057635
1.1,-0.593411945678,-2.72465288784,7.09444020024
1.15,-0.715584993318,-2.17196529137,7.84320799662
1.2,-0.802851455917,-1.76472179924,4.78349498695
1.25,-0.872664625997,-1.72593670475,1.95541518048
1.3,-0.977384381117,-1.69684788388,1.45982786201
1.35,-1.0471975512,-1.59988514766,1.72378197728
1.4,-1.1344640138,-1.53201123231,2.37020021876
1.45,-1.20427718388,-1.37687085435,3.13512847117
1.5,-1.27409035396,-1.19264165553,3.18899665796
1.55,-1.32645023152,-0.979323635841,1.76148970803
1.6,-1.36135681656,-0.969627362219,-0.37707730753
1.65,-1.41371669412,-1.12476774017,-0.554842323936
1.7,-1.4835298642,-1.12476774017,1.10968464787
1.75,-1.53588974176,-0.950234814975,1.90154699369
1.8,-1.57079632679,-0.882360899619,1.83151835086
1.85,-1.62315620435,-0.814486984264,2.34865294404
1.9,-1.65806278939,-0.659346606309,2.85501389987
1.95,-1.69296937443,-0.446028586621,1.90154699369
2,-1.69296937443,-0.416939765754,0.452492769036
2.05,-1.72787595947,-0.523598775598,2.88733481194
2.1,-1.74532925199,-0.513902501976,15.4871037021
2.15,-1.79768912955,0.261799387799,43.983374514
2.2,-1.81514242207,3.28703675792,80.7430251795
2.25,-1.62315620435,9.25024503557,94.1615905088
2.3,-0.907571211037,15.2231495868,53.8412526966
2.35,0.10471975512,16.706679451,-30.4732332671
2.4,1.02974425868,12.217304764,-116.182905269
2.45,1.51843644924,3.2773404843,-161.362153529
2.5,1.3962634016,-6.59346606309,-145.045479751
2.55,0.733038285838,-13.5650867974,-74.154945935
2.6,-0.191986217719,-15.116490577,22.8778189297
2.65,-1.02974425868,-10.7919525415,108.576717294
2.7,-1.44862327916,-2.34649821657,149.791267007
2.75,-1.29154364648,6.75830271467,131.325252575
2.8,-0.645771823238,12.9445252856,62.4440021269
2.85,0.226892802759,13.9238489215,-28.3131189768
2.9,0.977384381117,9.50234814975,-105.150700614
2.95,1.32645023152,1.57079632679,-139.141526478
3,1.15191730632,-6.76799898829,-118.197575455
3.05,0.523598775598,-12.1979122167,-51.8050352359
3.1,-0.279252680319,-12.7118147187,32.606413464
3.15,-0.959931088597,-8.27092139973,101.708523478
3.2,-1.23918376892,-0.727220521664,128.804221433
3.25,-1.02974425868,6.79708780916,104.929841048
3.3,-0.436332312999,11.4609954214,41.2899651745
3.35,0.314159265359,11.5191730632,-36.3717997206
3.4,0.907571211037,7.09767229144,-97.3182662547
3.45,1.1344640138,0.0775701889775,-118.499237301
3.5,0.907571211037,-6.76799898829,-92.7610176523
3.55,0.331612557879,-10.7143823525,-31.5936915523
3.6,-0.349065850399,-10.3459239549,39.6739195708
3.65,-0.872664625997,-5.99229709851,93.3805018004
3.7,-1.0471975512,0.639954059065,108.79757686
3.75,-0.785398163397,6.76799898829,80.6352888059
3.8,-0.244346095279,9.99685810448,22.0697961278
3.85,0.383972435439,9.25024503557,-43.1430308001
3.9,0.837758040957,4.85783308472,-89.3026800604
3.95,0.942477796077,-1.26051557088,-98.7996413914
4,0.680678408278,-6.68073252569,-69.4630268656
4.05,0.157079632679,-9.34720777179,-13.5370753403
4.1,-0.418879020479,-8.20304748437,46.2835460899
4.15,-0.802851455917,-3.82033180714,85.5480674411
4.2,-0.855211333477,1.87138080908,89.6043419064
4.25,-0.575958653158,6.65164370482,58.3069253814
4.3,-0.0698131700798,8.63937979737,5.0259018275
4.35,0.436332312999,7.1655462068,-48.5837176659
4.4,0.767944870878,2.87979326579,-81.2924806847
4.45,0.767944870878,-2.42406840555,-80.3013060478
4.5,0.471238898038,-6.51589587411,-47.5117407487
4.55,0,-7.90246300209,2.55335205384
4.6,-0.453785605519,-6.13774120285,49.9142618796
4.65,-0.715584993318,-1.99743236617,76.05110611
4.7,-0.680678408278,2.79252680319,71.2891583978
4.75,-0.383972435439,6.35105922253,38.1925444341
4.8,0.0698131700798,7.24311639578,-9.4107722322
4.85,0.471238898038,5.13902501976,-51.0778147142
4.9,0.663225115758,1.14416028742,-70.195634206
4.95,0.593411945678,-3.08341501186,-61.1565524626
5,0.296705972839,-5.95351200403,-28.8679613007
5.05,-0.10471975512,-6.40923686427,13.693293082
5.1,-0.453785605519,-4.31484176187,49.8119123247
5.15,-0.610865238198,-0.513902501976,64.8142023457
5.2,-0.506145483078,3.33551812603,52.9524276145
5.25,-0.209439510239,5.65292752174,20.6153550845
5.3,0.157079632679,5.67232006898,-18.4498539756
5.35,0.453785605519,3.44217713588,-48.9661817921
5.4,0.558505360638,-0.106659009844,-58.9479568042
5.45,0.436332312999,-3.50035477761,-44.7590764038
5.5,0.13962634016,-5.3329504922,-13.0684221152
5.55,-0.191986217719,-4.95479582094,22.3930052486
5.6,-0.436332312999,-2.6664752461,47.8564971442
5.65,-0.506145483078,0.688435427176,53.3725994715
5.7,-0.349065850399,3.63610260832,36.7596506655
5.75,-0.0698131700798,4.94509954732,6.37260649725
5.8,0.226892802759,4.31484176187,-25.2210850551
5.85,0.436332312999,1.95864727168,-45.9226292384
5.9,0.453785605519,-1.11507146655,-47.3178152763
5.95,0.296705972839,-3.57792496659,-29.8860700311
6,0.0349065850399,-4.5863374233,-1.13123192259
6.05,-0.244346095279,-3.69428025005,27.5266434497
6.1,-0.401425727959,-1.27990811813,43.6386181185
6.15,-0.383972435439,1.46413731695,41.4246356415
6.2,-0.226892802759,3.54883614572,23.0178762153
6.25,0.0349065850399,4.14030883668,-4.08320855868
6.3,0.261799387799,3.0155410965,-28.3885344383
6.35,0.383972435439,0.766005616153,-40.3634323617
6.4,0.349065850399,-1.73563297837,-35.6984473857
6.45,0.174532925199,-3.41308831501,-16.8230347345
6.5,-0.0523598775598,-3.68458397643,8.22028530415
6.55,-0.261799387799,-2.4046758583,29.0026317677
6.6,-0.331612557879,-0.213318019688,36.7811979402
6.65,-0.279252680319,1.91986217719,29.4820586301
6.7,-0.10471975512,3.22885911619,10.6066459789
6.75,0.10471975512,3.13189637997,-11.8025197257
