"Latest: Time (s)","Latest: Potential (psia)"
10.45,9.25743698433
10.5,9.25743698433
10.55,9.46181212626
10.6,8.64431155855
10.65,8.64431155855
10.7,8.64431155855
10.75,8.03118613277
10.8,7.62243584891
10.85,7.82681099084
10.9,8.03118613277
10.95,7.41806070699
11,7.82681099084
11.05,7.82681099084
11.1,7.82681099084
11.15,7.21368556506
11.2,7.41806070699
11.25,7.82681099084
11.3,7.82681099084
11.35,8.03118613277
11.4,7.82681099084
11.45,7.21368556506
11.5,7.41806070699
11.55,7.62243584891
11.6,6.8049352812
11.65,7.00931042313
11.7,6.8049352812
11.75,7.41806070699
11.8,6.8049352812
11.85,6.8049352812
11.9,6.8049352812
11.95,7.00931042313
12,7.00931042313
12.05,7.21368556506
12.1,6.60056013928
12.15,7.00931042313
12.2,6.39618499735
12.25,5.9874347135
12.3,5.57868442964
12.35,5.37430928771
12.4,6.60056013928
12.45,5.37430928771
12.5,5.57868442964
12.55,5.9874347135
12.6,6.39618499735
12.65,5.37430928771
12.7,5.16993414579
12.75,5.9874347135
12.8,5.9874347135
12.85,5.37430928771
12.9,5.9874347135
12.95,4.96555900386
13,5.16993414579
13.05,4.55680872001
13.1,4.76118386193
13.15,5.37430928771
13.2,5.37430928771
13.25,4.55680872001
13.3,5.37430928771
13.35,5.16993414579
13.4,4.35243357808
13.45,4.35243357808
13.5,4.96555900386
13.55,4.76118386193
13.6,4.55680872001
13.65,4.35243357808
13.7,4.14805843615
13.75,4.14805843615
13.8,5.16993414579
13.85,3.94368329422
13.9,4.35243357808
13.95,4.35243357808
14,4.96555900386
14.05,4.35243357808
14.1,4.96555900386
14.15,3.7393081523
14.2,4.55680872001
14.25,3.94368329422
14.3,3.94368329422
14.35,4.35243357808
14.4,3.7393081523
14.45,3.7393081523
14.5,4.35243357808
14.55,4.14805843615
14.6,3.7393081523
14.65,4.35243357808
14.7,3.7393081523
14.75,3.94368329422
14.8,3.53493301037
14.85,3.53493301037
14.9,3.94368329422
14.95,3.7393081523
15,3.33055786844
15.05,3.7393081523
15.1,3.53493301037
15.15,3.53493301037
15.2,2.71743244266
