"Latest: Time (s)","Latest: Potential (psia)"
14.5,0.469305881462
14.55,0.878056165317
14.6,1.08243130724
14.65,1.69555673303
14.7,1.28680644917
14.75,0.469305881462
14.8,0.67368102339
14.85,0.264930739535
14.9,1.28680644917
14.95,0.469305881462
15,0.878056165317
15.05,0.469305881462
15.1,1.08243130724
15.15,0.878056165317
15.2,0.67368102339
15.25,0.469305881462
15.3,1.4911815911
15.35,0.878056165317
15.4,0.67368102339
15.45,0.878056165317
15.5,1.4911815911
15.55,0.469305881462
15.6,0.67368102339
15.65,0.264930739535
15.7,0.878056165317
15.75,1.28680644917
15.8,0.878056165317
15.85,0.264930739535
15.9,0.264930739535
15.95,0.469305881462
16,1.08243130724
16.05,0.264930739535
16.1,0.264930739535
16.15,0.469305881462
16.2,0.67368102339
16.25,0.0605555976081
16.3,1.08243130724
16.35,0.0605555976081
16.4,0.469305881462
16.45,-0.348194686246
16.5,0.878056165317
16.55,0.0605555976081
16.6,0.67368102339
16.65,0.0605555976081
16.7,0.67368102339
16.75,1.28680644917
16.8,1.08243130724
16.85,0.0605555976081
16.9,0.878056165317
16.95,0.469305881462
17,0.878056165317
17.05,0.469305881462
17.1,1.08243130724
17.15,1.28680644917
17.2,1.08243130724
17.25,1.08243130724
17.3,0.469305881462
17.35,0.469305881462
17.4,0.469305881462
17.45,0.67368102339
17.5,-0.348194686246
17.55,0.469305881462
17.6,0.469305881462
17.65,1.08243130724
17.7,0.469305881462
17.75,0.0605555976081
17.8,0.0605555976081
17.85,0.264930739535
17.9,0.878056165317
17.95,0.0605555976081
18,0.67368102339
18.05,0.878056165317
18.1,0.469305881462
18.15,0.67368102339
18.2,1.08243130724
18.25,0.469305881462
18.3,0.0605555976081
18.35,0.469305881462
18.4,0.878056165317
18.45,0.264930739535
18.5,0.264930739535
18.55,-0.348194686246
18.6,0.264930739535
18.65,0.264930739535
18.7,0.469305881462
18.75,0.264930739535
18.8,0.469305881462
18.85,0.469305881462
18.9,1.08243130724
18.95,0.67368102339
19,-0.143819544319
19.05,0.469305881462
19.1,0.878056165317
19.15,0.264930739535
19.2,0.878056165317
19.25,0.878056165317
19.3,0.878056165317
19.35,0.264930739535
19.4,0.878056165317
19.45,0.264930739535
19.5,0.469305881462
19.55,0.0605555976081
19.6,0.264930739535
19.65,0.469305881462
19.7,-0.143819544319
19.75,0.264930739535
19.8,0.264930739535
19.85,0.0605555976081
19.9,0.264930739535
19.95,0.264930739535
20,0.264930739535
20.05,0.264930739535
20.1,0.264930739535
20.15,1.08243130724
20.2,0.878056165317
20.25,0.469305881462
20.3,0.469305881462
20.35,-0.348194686246
20.4,0.67368102339
20.45,0.264930739535
20.5,-0.348194686246
20.55,-0.143819544319
20.6,0.264930739535
20.65,-0.348194686246
20.7,0.878056165317
20.75,0.264930739535
20.8,0.469305881462
20.85,0.264930739535
20.9,-0.552569828174
20.95,0.878056165317
21,0.67368102339
21.05,0.264930739535
21.1,0.469305881462
21.15,0.67368102339
21.2,0.264930739535
21.25,-0.143819544319
21.3,0.0605555976081
21.35,0.878056165317
21.4,0.264930739535
21.45,0.264930739535
21.5,0.264930739535
21.55,0.264930739535
21.6,0.469305881462
21.65,0.0605555976081
21.7,0.878056165317
21.75,0.0605555976081
21.8,0.264930739535
21.85,-0.348194686246
21.9,0.264930739535
21.95,0.469305881462
22,0.469305881462
22.05,0.469305881462
22.1,0.878056165317
22.15,1.08243130724
22.2,-0.143819544319
22.25,0.469305881462
22.3,0.878056165317
22.35,-0.348194686246
22.4,0.264930739535
22.45,-0.143819544319
22.5,-0.348194686246
22.55,0.469305881462
22.6,0.469305881462
22.65,1.08243130724
22.7,0.878056165317
22.75,1.08243130724
22.8,-0.348194686246
22.85,0.469305881462
22.9,0.264930739535
22.95,0.67368102339
23,0.67368102339
23.05,0.469305881462
23.1,0.469305881462
23.15,0.264930739535
23.2,-0.348194686246
23.25,0.878056165317
23.3,0.878056165317
23.35,0.0605555976081
23.4,-0.348194686246
23.45,-0.348194686246
23.5,0.67368102339
23.55,0.264930739535
23.6,0.878056165317
23.65,0.878056165317
23.7,-0.143819544319
23.75,0.67368102339
23.8,0.264930739535
23.85,0.264930739535
