"Latest: Time (s)","Latest: Potential (V)"
10.6,0.156896305805
10.65,0.156896305805
10.7,-0.0499215518471
10.75,0.777349878762
10.8,0.777349878762
10.85,0.57053202111
10.9,-0.0499215518471
10.95,-0.0499215518471
11,0.156896305805
11.05,0.156896305805
11.1,-0.0499215518471
11.15,0.156896305805
11.2,-0.0499215518471
11.25,0.984167736414
11.3,-0.256739409499
11.35,0.156896305805
11.4,-0.0499215518471
11.45,0.156896305805
11.5,0.156896305805
11.55,0.156896305805
11.6,-0.877192982456
11.65,-0.463557267151
11.7,0.156896305805
11.75,0.57053202111
11.8,-0.463557267151
11.85,-0.0499215518471
11.9,0.777349878762
11.95,-0.463557267151
12,0.363714163457
12.05,-0.256739409499
12.1,-0.0499215518471
12.15,0.984167736414
12.2,-0.0499215518471
12.25,0.363714163457
12.3,-0.0499215518471
12.35,0.777349878762
12.4,-0.0499215518471
12.45,0.156896305805
12.5,0.57053202111
12.55,0.156896305805
12.6,-0.670375124804
12.65,-0.463557267151
12.7,-0.0499215518471
12.75,-0.256739409499
12.8,0.57053202111
12.85,0.57053202111
12.9,0.363714163457
12.95,-0.0499215518471
13,0.777349878762
13.05,-0.0499215518471
13.1,-0.0499215518471
13.15,-0.0499215518471
13.2,0.57053202111
13.25,0.57053202111
13.3,0.57053202111
13.35,-0.0499215518471
13.4,-0.0499215518471
13.45,-0.0499215518471
13.5,0.363714163457
13.55,-0.0499215518471
13.6,-0.0499215518471
13.65,0.57053202111
13.7,0.156896305805
13.75,0.363714163457
13.8,-0.0499215518471
13.85,-0.670375124804
13.9,-0.670375124804
13.95,0.156896305805
14,0.363714163457
14.05,-0.0499215518471
14.1,-0.0499215518471
14.15,-0.256739409499
14.2,-0.0499215518471
14.25,-0.0499215518471
14.3,-0.463557267151
14.35,0.156896305805
14.4,-0.0499215518471
14.45,-0.0499215518471
14.5,-0.0499215518471
14.55,-0.0499215518471
14.6,-0.0499215518471
14.65,-0.256739409499
14.7,0.156896305805
14.75,-0.463557267151
14.8,0.777349878762
14.85,0.57053202111
14.9,-0.0499215518471
14.95,-0.256739409499
15,0.363714163457
15.05,-0.463557267151
15.1,0.363714163457
15.15,-0.0499215518471
15.2,0.363714163457
15.25,-0.0499215518471
15.3,-0.0499215518471
15.35,0.57053202111
15.4,-0.670375124804
15.45,-0.0499215518471
15.5,-0.670375124804
15.55,-0.463557267151
15.6,-0.463557267151
15.65,0.363714163457
15.7,0.156896305805
15.75,0.363714163457
15.8,0.156896305805
15.85,-0.0499215518471
15.9,0.363714163457
15.95,-0.0499215518471
16,-0.0499215518471
16.05,0.363714163457
16.1,-0.463557267151
16.15,-0.0499215518471
16.2,0.363714163457
16.25,-0.0499215518471
16.3,-0.256739409499
16.35,0.57053202111
16.4,0.363714163457
16.45,-0.256739409499
16.5,-0.0499215518471
16.55,0.156896305805
16.6,0.156896305805
