"Latest: Time (s)","Latest: Potential (V)"
0,-0.0077775070917
0.01,-0.0077775070917
0.02,-0.0128017140077
0.03,-0.0128017140077
0.04,-0.0077775070917
0.05,-0.00275330017574
0.06,-0.0077775070917
0.07,-0.0077775070917
0.08,-0.0077775070917
0.09,-0.00526540363372
0.1,-0.00275330017574
0.11,-0.0077775070917
0.12,-0.0128017140077
0.13,-0.0128017140077
0.14,-0.00526540363372
0.15,-0.0128017140077
0.16,-0.0128017140077
0.17,-0.00526540363372
0.18,-0.0077775070917
0.19,-0.0128017140077
0.2,-0.0077775070917
0.21,-0.0077775070917
0.22,-0.000241196717752
0.23,-0.00275330017574
0.24,-0.00275330017574
0.25,-0.000241196717752
0.26,-0.00526540363372
0.27,-0.0077775070917
0.28,-0.0128017140077
0.29,-0.0102896105497
0.3,-0.0077775070917
0.31,-0.0102896105497
0.32,-0.00526540363372
0.33,-0.0153138174657
0.34,-0.0077775070917
0.35,-0.00526540363372
0.36,-0.0077775070917
0.37,-0.0128017140077
0.38,-0.0153138174657
0.39,-0.0077775070917
0.4,-0.0102896105497
0.41,-0.0077775070917
0.42,-0.0077775070917
0.43,-0.0077775070917
0.44,-0.0077775070917
0.45,-0.0077775070917
0.46,-0.0077775070917
0.47,-0.00275330017574
0.48,-0.0077775070917
0.49,-0.0077775070917
0.5,-0.0128017140077
0.51,-0.0128017140077
0.52,-0.0077775070917
0.53,-0.0077775070917
0.54,-0.00275330017574
0.55,-0.00526540363372
0.56,-0.0128017140077
0.57,-0.00526540363372
0.58,-0.00526540363372
0.59,-0.0102896105497
0.6,-0.0153138174657
0.61,-0.00526540363372
0.62,-0.0077775070917
0.63,-0.0153138174657
0.64,-0.00526540363372
0.65,-0.00526540363372
0.66,-0.0128017140077
0.67,-0.00275330017574
0.68,-0.00275330017574
0.69,-0.00526540363372
0.7,-0.0077775070917
0.71,-0.0077775070917
0.72,-0.00526540363372
0.73,-0.0077775070917
0.74,-0.0128017140077
0.75,-0.0077775070917
