"Latest: Time (s)","Latest: Temperature (°C)"
0,22.156487393
0.02,21.9415131488
0.04,21.2965904161
0.06,22.156487393
0.08,21.2965904161
0.1,21.5115646603
0.12,22.156487393
0.14,21.2965904161
0.16,21.7265389045
0.18,21.2965904161
0.2,21.5115646603
0.22,21.7265389045
0.24,21.0816161718
0.26,21.7265389045
0.28,21.9415131488
0.3,21.5115646603
0.32,21.0816161718
0.34,20.8666419276
0.36,20.8666419276
0.38,21.9415131488
0.4,20.8666419276
0.42,21.7265389045
0.44,21.7265389045
0.46,21.0816161718
0.48,21.9415131488
0.5,21.5115646603
0.52,21.9415131488
0.54,21.2965904161
0.56,20.8666419276
0.58,21.7265389045
0.6,21.2965904161
0.62,21.7265389045
0.64,20.8666419276
0.66,21.0816161718
0.68,21.7265389045
0.7,20.8666419276
0.72,21.2965904161
0.74,21.9415131488
0.76,21.0816161718
0.78,21.7265389045
0.8,20.8666419276
0.82,21.7265389045
0.84,20.8666419276
0.86,21.0816161718
0.88,21.2965904161
0.9,20.4366934392
0.92,21.5115646603
0.94,21.7265389045
0.96,21.0816161718
0.98,21.7265389045
1,21.2965904161
1.02,21.5115646603
1.04,21.2965904161
1.06,21.9415131488
1.08,21.7265389045
1.1,21.2965904161
1.12,20.8666419276
1.14,22.156487393
1.16,21.0816161718
1.18,21.0816161718
1.2,20.8666419276
1.22,21.5115646603
1.24,21.7265389045
1.26,21.0816161718
1.28,21.7265389045
1.3,21.2965904161
1.32,20.8666419276
1.34,21.7265389045
1.36,21.2965904161
1.38,22.156487393
1.4,21.2965904161
1.42,21.7265389045
1.44,21.7265389045
1.46,21.2965904161
1.48,21.9415131488
1.5,21.2965904161
1.52,21.7265389045
1.54,21.0816161718
1.56,21.7265389045
1.58,21.5115646603
1.6,21.0816161718
1.62,20.8666419276
1.64,21.7265389045
1.66,21.0816161718
1.68,21.5115646603
1.7,21.9415131488
1.72,20.6516676834
1.74,21.5115646603
1.76,20.8666419276
1.78,21.0816161718
1.8,21.7265389045
1.82,21.2965904161
1.84,21.7265389045
1.86,21.0816161718
1.88,21.2965904161
1.9,21.5115646603
1.92,21.2965904161
1.94,21.7265389045
1.96,21.2965904161
1.98,21.0816161718
2,21.5115646603
2.02,21.5115646603
2.04,21.5115646603
2.06,21.5115646603
2.08,20.6516676834
2.1,21.9415131488
2.12,21.7265389045
