"Latest: Time (s)","Latest: Temperature (°C)"
7.78,7.75321302962
7.8,7.75321302962
7.82,8.61311000654
7.84,7.32326454116
7.86,8.39813576231
7.88,8.18316151808
7.9,8.18316151808
7.92,7.32326454116
7.94,8.61311000654
7.96,7.53823878539
7.98,8.18316151808
8,7.10829029693
8.02,7.75321302962
8.04,7.75321302962
8.06,7.53823878539
8.08,7.53823878539
8.1,6.67834180848
8.12,7.96818727385
8.14,6.89331605271
8.16,8.18316151808
8.18,6.89331605271
8.2,7.96818727385
8.22,6.67834180848
8.24,7.75321302962
8.26,7.75321302962
8.28,8.18316151808
8.3,6.67834180848
8.32,7.96818727385
8.34,7.10829029693
8.36,8.18316151808
8.38,6.67834180848
8.4,7.32326454116
8.42,6.89331605271
8.44,6.89331605271
8.46,7.32326454116
8.48,6.89331605271
8.5,7.10829029693
8.52,7.10829029693
8.54,7.53823878539
8.56,6.24839332002
8.58,7.32326454116
8.6,7.53823878539
8.62,7.53823878539
8.64,7.10829029693
8.66,7.10829029693
8.68,6.89331605271
8.7,7.32326454116
8.72,6.46336756425
8.74,6.67834180848
8.76,7.32326454116
8.78,6.67834180848
8.8,7.32326454116
8.82,6.03341907579
8.84,6.89331605271
8.86,7.10829029693
8.88,6.89331605271
8.9,6.24839332002
8.92,7.53823878539
8.94,6.03341907579
8.96,6.89331605271
8.98,6.67834180848
9,6.67834180848
9.02,6.89331605271
9.04,7.32326454116
9.06,6.89331605271
9.08,6.67834180848
9.1,5.81844483156
9.12,6.67834180848
9.14,6.67834180848
9.16,5.81844483156
9.18,7.32326454116
9.2,6.03341907579
9.22,6.24839332002
9.24,6.67834180848
9.26,6.03341907579
9.28,6.67834180848
9.3,6.46336756425
9.32,5.81844483156
9.34,5.81844483156
9.36,5.81844483156
9.38,6.67834180848
9.4,6.46336756425
9.42,5.81844483156
9.44,6.24839332002
9.46,5.81844483156
9.48,6.46336756425
9.5,6.46336756425
9.52,6.24839332002
9.54,5.60347058733
9.56,6.89331605271
9.58,5.3884963431
9.6,6.24839332002
9.62,5.60347058733
9.64,5.60347058733
9.66,6.46336756425
9.68,6.03341907579
9.7,5.60347058733
9.72,6.24839332002
9.74,6.24839332002
9.76,5.81844483156
9.78,6.24839332002
9.8,5.60347058733
9.82,5.60347058733
9.84,6.46336756425
9.86,5.60347058733
9.88,6.24839332002
9.9,6.24839332002
9.92,5.60347058733
9.94,6.24839332002
9.96,5.3884963431
9.98,5.60347058733
10,5.81844483156
10.02,5.3884963431
10.04,5.81844483156
10.06,4.74357361041
10.08,5.60347058733
10.1,5.3884963431
10.12,6.03341907579
10.14,6.03341907579
10.16,6.03341907579
10.18,5.17352209887
10.2,5.81844483156
10.22,5.17352209887
10.24,5.60347058733
10.26,5.17352209887
10.28,4.95854785464
10.3,6.24839332002
10.32,5.81844483156
10.34,5.81844483156
10.36,6.03341907579
10.38,5.81844483156
10.4,5.3884963431
10.42,6.46336756425
10.44,5.60347058733
10.46,5.81844483156
10.48,5.81844483156
10.5,5.81844483156
10.52,5.81844483156
10.54,5.17352209887
10.56,5.60347058733
10.58,4.95854785464
10.6,5.60347058733
10.62,4.95854785464
10.64,5.81844483156
10.66,5.17352209887
10.68,5.81844483156
10.7,5.3884963431
10.72,5.17352209887
10.74,5.60347058733
10.76,5.3884963431
10.78,5.60347058733
10.8,6.03341907579
10.82,4.95854785464
10.84,5.81844483156
10.86,5.17352209887
10.88,5.17352209887
10.9,5.60347058733
10.92,4.95854785464
10.94,5.81844483156
10.96,5.60347058733
10.98,6.03341907579
11,5.17352209887
11.02,6.03341907579
11.04,4.95854785464
11.06,5.60347058733
11.08,4.74357361041
11.1,5.60347058733
11.12,5.3884963431
11.14,5.17352209887
11.16,4.74357361041
11.18,5.17352209887
11.2,5.3884963431
11.22,5.81844483156
11.24,5.81844483156
11.26,4.74357361041
11.28,6.03341907579
11.3,5.17352209887
11.32,5.17352209887
11.34,5.17352209887
11.36,5.3884963431
11.38,4.74357361041
11.4,5.3884963431
11.42,4.52859936618
11.44,4.95854785464
11.46,4.52859936618
11.48,4.74357361041
11.5,6.03341907579
11.52,5.3884963431
11.54,5.60347058733
11.56,4.95854785464
11.58,5.60347058733
11.6,4.95854785464
11.62,4.95854785464
11.64,4.95854785464
11.66,5.81844483156
11.68,4.95854785464
11.7,4.74357361041
11.72,5.60347058733
11.74,4.95854785464
11.76,5.17352209887
11.78,4.95854785464
11.8,5.3884963431
11.82,4.95854785464
11.84,4.95854785464
11.86,5.3884963431
11.88,4.95854785464
11.9,4.74357361041
11.92,5.3884963431
11.94,4.95854785464
11.96,5.17352209887
11.98,4.95854785464
12,4.95854785464
12.02,5.17352209887
12.04,4.95854785464
12.06,4.74357361041
12.08,5.17352209887
12.1,4.95854785464
12.12,4.95854785464
12.14,4.95854785464
12.16,4.95854785464
12.18,5.3884963431
12.2,5.3884963431
12.22,4.74357361041
12.24,5.3884963431
12.26,5.3884963431
12.28,5.3884963431
12.3,4.74357361041
12.32,5.3884963431
12.34,4.52859936618
12.36,5.81844483156
12.38,4.95854785464
12.4,5.17352209887
12.42,4.95854785464
12.44,5.17352209887
12.46,4.74357361041
12.48,5.17352209887
12.5,4.31362512195
12.52,4.95854785464
12.54,4.95854785464
12.56,5.17352209887
12.58,4.74357361041
12.6,4.95854785464
12.62,5.3884963431
12.64,4.95854785464
12.66,5.17352209887
12.68,4.74357361041
12.7,5.17352209887
12.72,4.95854785464
12.74,4.52859936618
12.76,4.95854785464
12.78,4.95854785464
12.8,4.52859936618
12.82,4.52859936618
12.84,5.60347058733
12.86,4.95854785464
12.88,5.60347058733
12.9,4.31362512195
12.92,5.3884963431
12.94,5.17352209887
12.96,5.17352209887
12.98,5.17352209887
13,5.17352209887
13.02,4.95854785464
13.04,4.74357361041
13.06,4.95854785464
13.08,4.52859936618
13.1,4.95854785464
13.12,4.31362512195
13.14,4.52859936618
13.16,4.52859936618
13.18,5.17352209887
13.2,4.95854785464
13.22,5.17352209887
13.24,4.31362512195
13.26,4.52859936618
13.28,4.31362512195
13.3,4.74357361041
13.32,4.95854785464
13.34,4.74357361041
13.36,5.3884963431
13.38,4.31362512195
13.4,4.95854785464
13.42,3.88367663349
13.44,5.3884963431
13.46,4.52859936618
13.48,5.60347058733
13.5,4.52859936618
13.52,4.74357361041
13.54,4.74357361041
13.56,4.74357361041
13.58,4.74357361041
13.6,4.09865087772
13.62,5.60347058733
13.64,4.09865087772
13.66,5.17352209887
13.68,5.17352209887
13.7,5.17352209887
13.72,4.09865087772
13.74,4.95854785464
13.76,4.95854785464
13.78,4.52859936618
13.8,4.52859936618
13.82,4.95854785464
13.84,5.17352209887
13.86,4.95854785464
13.88,5.17352209887
13.9,4.95854785464
13.92,4.95854785464
13.94,4.52859936618
13.96,5.3884963431
13.98,4.95854785464
14,4.95854785464
14.02,3.88367663349
14.04,4.95854785464
14.06,4.52859936618
14.08,4.74357361041
14.1,4.74357361041
14.12,4.52859936618
14.14,4.95854785464
14.16,4.31362512195
14.18,4.95854785464
14.2,4.52859936618
14.22,4.95854785464
14.24,4.09865087772
14.26,5.17352209887
14.28,4.95854785464
14.3,5.17352209887
14.32,3.88367663349
14.34,4.31362512195
14.36,4.95854785464
14.38,4.95854785464
14.4,4.95854785464
14.42,4.52859936618
14.44,4.74357361041
14.46,3.88367663349
14.48,4.95854785464
14.5,4.95854785464
14.52,4.95854785464
14.54,4.95854785464
14.56,4.95854785464
14.58,4.09865087772
14.6,4.52859936618
14.62,4.52859936618
14.64,3.88367663349
14.66,5.3884963431
14.68,4.09865087772
14.7,4.95854785464
14.72,4.52859936618
14.74,4.74357361041
14.76,4.52859936618
14.78,5.17352209887
14.8,4.95854785464
14.82,5.17352209887
14.84,4.09865087772
14.86,4.09865087772
14.88,4.74357361041
14.9,4.52859936618
14.92,4.74357361041
14.94,4.31362512195
14.96,4.95854785464
