"Latest: Time (s)","Latest: Temperature (°C)"
0,77.1898939157
0.02,77.1898939157
0.04,76.9749196715
0.06,77.1898939157
0.08,76.544971183
0.1,77.1898939157
0.12,77.1898939157
0.14,77.6198424042
0.16,76.7599454273
0.18,76.9749196715
0.2,76.544971183
0.22,77.1898939157
0.24,76.7599454273
0.26,76.7599454273
0.28,76.544971183
0.3,76.9749196715
0.32,76.9749196715
0.34,77.1898939157
0.36,76.9749196715
0.38,76.7599454273
0.4,77.1898939157
0.42,76.3299969388
0.44,77.1898939157
0.46,76.3299969388
0.48,77.1898939157
0.5,76.7599454273
0.52,76.544971183
0.54,76.544971183
0.56,77.40486816
0.58,77.1898939157
0.6,77.40486816
0.62,76.7599454273
0.64,76.7599454273
0.66,77.1898939157
0.68,77.40486816
0.7,76.1150226946
0.72,76.9749196715
0.74,76.1150226946
0.76,77.1898939157
0.78,76.9749196715
0.8,76.544971183
0.82,77.6198424042
0.84,76.1150226946
0.86,77.1898939157
0.88,76.7599454273
0.9,77.1898939157
0.92,76.7599454273
0.94,76.544971183
0.96,76.544971183
0.98,77.8348166484
1,76.7599454273
1.02,77.1898939157
1.04,76.3299969388
1.06,76.9749196715
1.08,76.9749196715
1.1,76.9749196715
1.12,76.7599454273
1.14,76.7599454273
1.16,77.1898939157
1.18,76.3299969388
1.2,77.40486816
1.22,76.544971183
1.24,77.1898939157
1.26,76.1150226946
1.28,77.1898939157
1.3,76.544971183
1.32,77.1898939157
1.34,76.7599454273
1.36,77.1898939157
1.38,76.544971183
1.4,76.7599454273
1.42,76.544971183
1.44,77.1898939157
1.46,77.40486816
1.48,76.544971183
1.5,76.9749196715
1.52,77.1898939157
1.54,77.1898939157
1.56,76.544971183
1.58,76.7599454273
1.6,76.544971183
1.62,77.1898939157
1.64,76.3299969388
1.66,77.1898939157
1.68,76.7599454273
1.7,77.40486816
1.72,76.1150226946
1.74,77.1898939157
1.76,76.7599454273
1.78,77.6198424042
1.8,76.9749196715
1.82,77.1898939157
1.84,77.1898939157
1.86,76.7599454273
1.88,76.7599454273
1.9,77.1898939157
1.92,77.1898939157
1.94,76.544971183
1.96,77.1898939157
1.98,77.1898939157
2,77.40486816
2.02,77.1898939157
2.04,77.8348166484
2.06,76.9749196715
2.08,76.9749196715
2.1,76.3299969388
2.12,77.6198424042
2.14,76.1150226946
2.16,76.9749196715
2.18,76.9749196715
2.2,76.9749196715
2.22,76.9749196715
2.24,77.1898939157
2.26,76.3299969388
2.28,75.9000484504
2.3,76.1150226946
2.32,76.1150226946
2.34,76.3299969388
2.36,75.9000484504
2.38,76.1150226946
2.4,76.3299969388
2.42,76.1150226946
2.44,75.4700999619
2.46,76.1150226946
2.48,75.4700999619
2.5,74.610202985
2.52,74.610202985
2.54,75.2551257177
2.56,73.5353317638
2.58,73.7503060081
2.6,73.7503060081
2.62,73.5353317638
2.64,73.1053832754
2.66,73.3203575196
2.68,73.9652802523
2.7,72.8904090311
2.72,72.6754347869
2.74,72.0305120542
2.76,73.1053832754
2.78,72.0305120542
2.8,72.4604605427
2.82,72.0305120542
2.84,71.1706150773
2.86,71.3855893215
2.88,71.3855893215
2.9,70.5256923446
2.92,71.6005635658
2.94,70.0957438562
2.96,70.3107181004
2.98,69.8807696119
3,70.0957438562
3.02,69.4508211235
3.04,69.8807696119
3.06,69.8807696119
3.08,69.020872635
3.1,69.020872635
3.12,68.1609756581
3.14,68.3759499023
3.16,68.1609756581
3.18,68.1609756581
3.2,68.3759499023
3.22,68.1609756581
3.24,67.7310271696
3.26,67.7310271696
3.28,66.22620746
3.3,67.086104437
3.32,66.4411817043
3.34,66.6561559485
3.36,66.22620746
3.38,66.6561559485
3.4,65.7962589716
3.42,65.3663104831
3.44,65.1513362389
3.46,65.7962589716
3.48,64.7213877504
3.5,64.7213877504
3.52,64.7213877504
3.54,64.0764650177
3.56,64.7213877504
3.58,64.9363619947
3.6,64.9363619947
3.62,63.8614907735
3.64,63.8614907735
3.66,63.2165680408
3.68,64.0764650177
3.7,63.2165680408
3.72,63.2165680408
3.74,63.0015937966
3.76,63.2165680408
3.78,62.5716453081
3.8,63.0015937966
3.82,63.0015937966
3.84,62.3566710639
3.86,62.5716453081
3.88,63.0015937966
3.9,61.2817998428
3.92,61.9267225754
3.94,61.7117483312
3.96,62.3566710639
3.98,61.0668255985
4,61.496774087
4.02,61.2817998428
4.04,61.0668255985
4.06,60.6368771101
4.08,61.496774087
4.1,59.9919543774
4.12,60.6368771101
4.14,59.9919543774
4.16,60.2069286216
4.18,60.6368771101
4.2,59.9919543774
4.22,60.4219028658
4.24,59.5620058889
4.26,59.7769801332
4.28,59.3470316447
4.3,59.1320574005
4.32,59.3470316447
4.34,59.7769801332
4.36,58.9170831562
4.38,59.1320574005
4.4,59.1320574005
4.42,58.9170831562
4.44,58.2721604235
4.46,58.4871346678
4.48,58.0571861793
4.5,58.4871346678
4.52,57.8422119351
4.54,58.0571861793
4.56,57.8422119351
4.58,58.2721604235
4.6,57.6272376909
4.62,57.1972892024
4.64,56.9823149582
4.66,56.7673407139
4.68,57.4122634466
4.7,57.8422119351
4.72,56.5523664697
4.74,56.5523664697
4.76,56.3373922255
4.78,56.3373922255
4.8,56.5523664697
4.82,56.1224179812
4.84,56.1224179812
4.86,56.5523664697
4.88,56.3373922255
4.9,55.4774952486
4.92,56.1224179812
4.94,56.1224179812
4.96,55.4774952486
4.98,55.6924694928
5,55.0475467601
5.02,55.6924694928
5.04,55.6924694928
5.06,55.4774952486
5.08,54.8325725159
5.1,55.2625210043
5.12,54.8325725159
5.14,55.0475467601
5.16,54.4026240274
5.18,54.8325725159
5.2,54.1876497832
5.22,54.6175982716
5.24,53.972675539
5.26,54.8325725159
5.28,54.1876497832
5.3,54.1876497832
5.32,54.1876497832
5.34,53.5427270505
5.36,53.972675539
5.38,53.112778562
5.4,53.7577012947
5.42,53.972675539
5.44,53.7577012947
5.46,53.3277528063
5.48,53.5427270505
5.5,53.3277528063
5.52,53.3277528063
5.54,53.3277528063
5.56,53.112778562
5.58,52.8978043178
5.6,53.5427270505
5.62,52.0379073409
5.64,52.8978043178
5.66,52.0379073409
5.68,52.6828300736
5.7,52.0379073409
5.72,52.2528815851
5.74,51.8229330967
5.76,51.6079588524
5.78,51.178010364
5.8,52.2528815851
5.82,50.9630361197
5.84,51.8229330967
5.86,51.6079588524
5.88,51.178010364
5.9,51.3929846082
5.92,51.3929846082
5.94,51.3929846082
5.96,51.3929846082
5.98,50.3181133871
6,51.178010364
6.02,50.5330876313
6.04,50.7480618755
6.06,50.5330876313
6.08,50.7480618755
6.1,50.7480618755
6.12,50.5330876313
6.14,49.8881648986
6.16,50.3181133871
6.18,49.4582164101
6.2,49.8881648986
6.22,50.1031391428
6.24,49.2432421659
6.26,49.8881648986
6.28,49.2432421659
6.3,49.2432421659
6.32,49.8881648986
6.34,48.5983194332
6.36,49.6731906544
6.38,48.8132936774
6.4,49.2432421659
6.42,48.5983194332
6.44,49.2432421659
6.46,48.383345189
6.48,48.5983194332
6.5,47.7384224563
6.52,48.8132936774
6.54,48.383345189
6.56,47.9533967005
6.58,47.9533967005
6.6,48.1683709448
6.62,47.7384224563
6.64,48.5983194332
6.66,47.0934997236
6.68,48.383345189
6.7,47.5234482121
6.72,47.9533967005
6.74,47.7384224563
6.76,47.3084739678
6.78,46.8785254794
6.8,47.3084739678
6.82,47.5234482121
6.84,47.0934997236
6.86,47.9533967005
6.88,47.9533967005
6.9,46.4485769909
6.92,46.8785254794
6.94,47.0934997236
6.96,47.3084739678
6.98,46.6635512352
7,47.7384224563
7.02,46.6635512352
7.04,46.4485769909
7.06,46.6635512352
7.08,47.0934997236
7.1,46.4485769909
7.12,46.2336027467
7.14,46.8785254794
7.16,46.4485769909
7.18,46.2336027467
7.2,46.6635512352
7.22,46.0186285025
7.24,46.4485769909
7.26,46.2336027467
7.28,46.2336027467
7.3,45.1587315255
7.32,46.2336027467
7.34,45.588680014
7.36,46.6635512352
7.38,45.1587315255
7.4,46.4485769909
7.42,44.9437572813
7.44,46.4485769909
7.46,45.3737057698
7.48,45.8036542582
7.5,45.8036542582
7.52,45.8036542582
7.54,44.9437572813
7.56,45.8036542582
7.58,44.5138087929
7.6,45.8036542582
7.62,44.7287830371
7.64,44.9437572813
7.66,44.2988345486
7.68,45.588680014
7.7,44.5138087929
7.72,45.3737057698
7.74,44.5138087929
7.76,44.5138087929
7.78,44.0838603044
7.8,44.7287830371
7.82,44.5138087929
7.84,44.5138087929
7.86,43.4389375717
7.88,44.2988345486
7.9,43.8688860602
7.92,44.2988345486
7.94,43.4389375717
7.96,44.7287830371
7.98,44.0838603044
8,43.2239633275
8.02,43.2239633275
8.04,43.6539118159
8.06,43.2239633275
8.08,43.4389375717
8.1,43.2239633275
8.12,43.6539118159
8.14,42.794014839
8.16,42.794014839
8.18,42.5790405948
8.2,42.3640663506
8.22,41.9341178621
8.24,42.3640663506
